assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,name_first,name_last,name,season,element_type,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc
0,0,0,0,0.0,504,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,75604,2,0,0.0,0,0,0,0,55,False,0,Fabio,Silva,Fabio_Silva,2020,4,20.0,3,1,0,0,2,0,2,1,1,0,5,12,11,0,0,0,0,0,0,0,0,0,0
0,0,21,1,1.5,505,8,0,0,1.7,15.2,2020-09-14T17:00:00Z,90,15,0,0,0,0,1,0,15739,2,0,0.0,5,0,0,0,50,False,1,Fernando,Marçal,Fernando_Marçal,2020,2,20.0,3,1,0,0,2,0,2,1,1,0,5,12,11,0,0,0,0,0,0,0,0,0,0
0,2,32,1,23.3,506,6,0,1,10.5,32.0,2020-09-12T19:00:00Z,84,19,0,0,0,0,1,0,538610,2,0,50.0,8,0,0,0,65,False,0,Callum,Wilson,Callum_Wilson,2020,4,14.0,3,1,0,0,2,0,2,1,2,0,4,3,16,0,0,0,1,1,3,-2,1,1,0
0,0,0,0,0.0,507,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,19,0,0,0,0,1,0,65008,2,0,0.0,0,0,0,0,60,False,0,Ryan,Fraser,Ryan_Fraser,2020,3,14.0,3,1,0,0,2,0,2,1,2,0,4,3,16,0,0,0,1,1,3,-2,1,1,0
0,0,16,1,58.6,508,4,0,0,9.9,17.0,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,471986,1,0,23.0,3,0,0,0,75,False,0,James,Rodríguez,James_Rodríguez,2020,3,7.0,3,1,0,0,1,0,1,1,0,0,8,18,20,0,0,0,1,0,3,-3,1,1,0
0,0,0,0,0.0,509,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,51564,2,0,0.0,0,0,0,0,45,True,0,Ethan,Ampadu,Ethan_Ampadu,2020,2,15.0,0,0,0,1,0,2,-2,1,2,0,17,2,9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,510,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,7325,2,0,0.0,0,0,0,0,45,True,0,Jayden,Bogle,Jayden_Bogle,2020,2,15.0,0,0,0,1,0,2,-2,1,2,0,17,2,9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,511,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,4284,2,0,0.0,0,0,0,0,45,True,0,Max,Lowe,Max_Lowe,2020,2,15.0,0,0,0,1,0,2,-2,1,2,0,17,2,9,0,0,0,0,0,0,0,0,0,0
0,0,20,1,44.6,512,4,0,0,6.9,20.4,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,143040,1,0,4.0,3,0,0,0,55,False,0,Abdoulaye,Doucouré,Abdoulaye_Doucouré,2020,3,7.0,3,1,0,0,1,0,1,1,0,0,8,18,20,0,0,0,1,0,3,-3,1,1,0
0,1,31,1,39.8,513,6,0,0,5.9,19.4,2020-09-12T19:00:00Z,90,19,0,0,0,0,1,0,76806,2,0,0.0,7,0,0,0,45,False,0,Jamal,Lewis,Jamal_Lewis,2020,2,14.0,3,1,0,0,2,0,2,1,2,0,4,3,16,0,0,0,1,1,3,-2,1,1,0
