name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Ederson_Santana de Moraes_212,0,0,23,1,0.0,212,236,0,0,1.4,14.4,2020-01-21T19:30:00Z,90,15,0,0,0,0,24,1,850951,1,0,0.0,6,-17414,5027,22441,60,False,0,11.0,51,16,3,5,65,27,38,24,44,2,2,2019,17,5,37,10,7,8,40,32,8,25,49,3,Ederson,Santana de Moraes,1
Edward_Nketiah_13,0,0,0,0,0.0,13,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,6,0,0,0,0,24,0,44709,2,2,0.0,0,2304,3624,1320,43,False,0,1.0,30,6,12,6,32,34,-2,24,58,3,10,2019,5,11,31,9,4,12,28,38,-10,25,44,0,Edward,Nketiah,4
Eldin_Jakupovic_169,0,0,0,0,0.0,169,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,19,0,0,0,0,24,0,6505,1,4,0.0,0,-24,22,46,43,True,0,9.0,48,15,3,6,52,24,28,24,25,0,3,2019,6,4,41,12,5,8,43,34,9,25,45,0,Eldin,Jakupovic,1
Emerson_Palmieri dos Santos_107,0,0,14,0,73.4,107,238,2,0,12.1,19.4,2020-01-21T20:15:00Z,90,1,0,0,0,0,24,0,55490,2,2,28.0,0,-727,388,1115,55,True,1,6.0,40,12,4,8,41,32,9,24,43,0,4,2019,9,3,49,15,4,6,54,26,28,25,27,0,Emerson,Palmieri dos Santos,2
Emile_Smith Rowe_576,0,0,0,0,0.0,576,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,6,0,0,0,0,24,0,1639,2,2,0.0,0,714,963,249,43,False,0,1.0,30,6,12,6,32,34,-2,24,58,3,10,2019,5,11,31,9,4,12,28,38,-10,25,44,0,Emile,Smith Rowe,3
Emiliano_Buendía_283,0,0,0,0,0.0,283,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,17,0,0,0,0,24,0,63283,1,2,0.0,0,-4743,1926,6669,60,False,0,14.0,17,4,5,15,24,47,-23,24,47,1,20,2019,13,12,31,8,7,10,24,36,-12,25,44,2,Emiliano,Buendía,3
Emiliano_Martínez_427,0,0,0,0,0.0,427,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,6,0,0,0,0,24,0,17978,2,2,0.0,0,-100,98,198,43,False,0,1.0,30,6,12,6,32,34,-2,24,58,3,10,2019,5,11,31,9,4,12,28,38,-10,25,44,0,Emiliano,Martínez,1
Emil_Krafth_519,0,0,3,0,1.2,519,233,0,0,0.2,0.6,2020-01-21T19:30:00Z,28,8,0,0,0,0,24,0,4975,2,2,0.0,1,108,184,76,43,False,0,13.0,30,8,6,10,24,36,-12,24,42,2,14,2019,14,20,18,4,6,15,24,47,-23,25,48,1,Emil,Krafth,2
Enda_Stevens_291,0,0,14,0,20.1,291,236,1,0,4.1,16.6,2020-01-21T19:30:00Z,90,11,0,0,0,0,24,0,163191,1,0,4.0,2,-5811,4248,10059,51,True,0,15.0,33,8,9,7,25,23,2,24,47,1,8,2019,7,14,30,7,9,9,22,29,-7,25,40,1,Enda,Stevens,2
Eric_Bailly_228,0,0,0,0,0.0,228,235,0,0,0.0,0.0,2020-01-22T20:15:00Z,0,5,0,0,0,0,24,0,2493,2,0,0.0,0,101,130,29,49,True,0,12.0,34,9,7,8,36,29,7,24,44,0,5,2019,20,8,35,8,11,6,35,32,3,25,36,2,Eric,Bailly,2
Eric_Dier_350,0,0,3,0,0.3,350,240,1,0,0.6,5.8,2020-01-22T19:30:00Z,34,14,0,0,0,0,24,0,13704,1,2,0.0,1,-172,155,327,49,True,0,17.0,34,9,7,8,38,32,6,24,47,3,6,2019,11,2,51,16,3,6,65,29,36,25,47,3,Eric,Dier,3
Eric_Garcia_544,0,0,4,0,0.0,544,236,0,0,0.3,3.0,2020-01-21T19:30:00Z,12,15,0,0,0,0,24,0,4188,1,0,0.0,1,-928,111,1039,45,False,0,11.0,51,16,3,5,65,27,38,24,44,2,2,2019,17,5,37,10,7,8,40,32,8,25,49,3,Eric,Garcia,2
Erik_Lamela_346,0,0,4,1,2.9,346,240,0,0,3.5,7.2,2020-01-22T19:30:00Z,61,14,0,0,0,0,24,0,87004,1,2,25.0,3,2211,3339,1128,57,True,0,17.0,34,9,7,8,38,32,6,24,47,3,6,2019,11,2,51,16,3,6,65,29,36,25,47,3,Erik,Lamela,3
